"id","alias","valid_from_date","valid_to_date","nameset_id","hierarchy_name_id","admin_level","alias_dot_name","last_upddate","last_userid","message","parent_id"
NA,"kabale",NA,NA,9,321356,1,"africa:uga:kabale",NA,"kmccarthy",NA,288929
NA,"kabarole",NA,NA,9,321362,1,"africa:uga:kabarole",NA,"kmccarthy",NA,289097
NA,"kalangala",NA,NA,9,321357,1,"africa:uga:kalangala",NA,"kmccarthy",NA,288949
NA,"masvingo",NA,NA,9,325295,1,"africa:zim:masvingo",NA,"kmccarthy",NA,291189
NA,"annaba",NA,NA,9,305576,1,"africa:alg:annaba",NA,"kmccarthy",NA,290005
NA,"batna",NA,NA,9,305577,1,"africa:alg:batna",NA,"kmccarthy",NA,289954
NA,"bechar",NA,NA,9,305578,1,"africa:alg:bechar",NA,"kmccarthy",NA,289956
NA,"bejaia",NA,NA,9,305579,1,"africa:alg:bejaia",NA,"kmccarthy",NA,290011
NA,"biskra",NA,NA,9,305580,1,"africa:alg:biskra",NA,"kmccarthy",NA,289959
NA,"bouira",NA,NA,9,305583,1,"africa:alg:bouira",NA,"kmccarthy",NA,289955
NA,"constantine",NA,NA,9,305586,1,"africa:alg:constantine",NA,"kmccarthy",NA,289960
NA,"djelfa",NA,NA,9,305587,1,"africa:alg:djelfa",NA,"kmccarthy",NA,289961
NA,"jijel",NA,NA,9,291299,1,"africa:alg:jijel",NA,"kmccarthy",NA,290013
NA,"mascara",NA,NA,9,305596,1,"africa:alg:mascara",NA,"kmccarthy",NA,289974
NA,"mila",NA,NA,9,305598,1,"africa:alg:mila",NA,"kmccarthy",NA,289981
NA,"mostaganem",NA,NA,9,305599,1,"africa:alg:mostaganem",NA,"kmccarthy",NA,289982
NA,"m'sila",NA,NA,9,305595,1,"africa:alg:m'sila",NA,"kmccarthy",NA,289973
NA,"naama",NA,NA,9,305600,1,"africa:alg:naama",NA,"kmccarthy",NA,289983
NA,"oran",NA,NA,9,305601,1,"africa:alg:oran",NA,"kmccarthy",NA,289985
NA,"ouargla",NA,NA,9,305602,1,"africa:alg:ouargla",NA,"kmccarthy",NA,289986
NA,"saida",NA,NA,9,305605,1,"africa:alg:saida",NA,"kmccarthy",NA,289993
NA,"setif",NA,NA,9,305606,1,"africa:alg:setif",NA,"kmccarthy",NA,289994
NA,"skikda",NA,NA,9,305608,1,"africa:alg:skikda",NA,"kmccarthy",NA,289998
NA,"tebessa",NA,NA,9,305612,1,"africa:alg:tebessa",NA,"kmccarthy",NA,290006
NA,"tiaret",NA,NA,9,305613,1,"africa:alg:tiaret",NA,"kmccarthy",NA,290012
NA,"tlemcen",NA,NA,9,305618,1,"africa:alg:tlemcen",NA,"kmccarthy",NA,290007
NA,"benguela",NA,NA,9,291428,1,"africa:ang:benguela",NA,"kmccarthy",NA,289458
NA,"cabinda",NA,NA,9,293749,1,"africa:ang:cabinda",NA,"kmccarthy",NA,289452
NA,"huambo",NA,NA,9,293761,1,"africa:ang:huambo",NA,"kmccarthy",NA,289465
NA,"luanda",NA,NA,9,293812,1,"africa:ang:luanda",NA,"kmccarthy",NA,288741
NA,"moxico",NA,NA,9,293848,1,"africa:ang:moxico",NA,"kmccarthy",NA,288742
NA,"namibe",NA,NA,9,293855,1,"africa:ang:namibe",NA,"kmccarthy",NA,289472
NA,"uige",NA,NA,9,293868,1,"africa:ang:uige",NA,"kmccarthy",NA,289473
NA,"banfora",NA,NA,9,295627,1,"africa:bfa:banfora",NA,"kmccarthy",NA,289539
NA,"dedougou",NA,NA,9,295621,1,"africa:bfa:dedougou",NA,"kmccarthy",NA,289533
NA,"dori",NA,NA,9,295676,1,"africa:bfa:dori",NA,"kmccarthy",NA,289527
NA,"gaoua",NA,NA,9,295681,1,"africa:bfa:gaoua",NA,"kmccarthy",NA,289528
NA,"kaya",NA,NA,9,295644,1,"africa:bfa:kaya",NA,"kmccarthy",NA,289526
NA,"koudougou",NA,NA,9,295648,1,"africa:bfa:koudougou",NA,"kmccarthy",NA,289536
NA,"manga",NA,NA,9,295651,1,"africa:bfa:manga",NA,"kmccarthy",NA,289505
NA,"ouahigouya",NA,NA,9,295668,1,"africa:bfa:ouahigouya",NA,"kmccarthy",NA,288755
NA,"tenkodogo",NA,NA,9,295636,1,"africa:bfa:tenkodogo",NA,"kmccarthy",NA,289525
